Date, Weight
9/06/2012, 110.5
9/07/2012, 110.0
9/08/2012, 110.5
9/09/2012, 109.0
9/10/2012, 109.5
9/11/2012, 108.5
9/12/2012, 109.0
9/13/2012, 109.5
9/14/2012, 109.0
9/15/2012, 111.0
9/16/2012, 110.5
9/17/2012, 109.5
9/18/2012, 110.0
9/19/2012, 110.0
9/20/2012, 110.0
9/21/2012, 110.0
9/22/2012, 111.0
9/23/2012, 111.0
9/24/2012, 111.0
9/25/2012, 111.0
9/26/2012, 110.0
9/27/2012, 110.5
9/28/2012, 111.0
9/29/2012, 111.0
9/30/2012, 111.5
10/01/2012, 111.0
10/02/2012, 110.5
10/03/2012, 110.5
10/04/2012, 111.0
10/05/2012, 112.0
10/06/2012, 111.0
10/07/2012, 110.5
10/08/2012, 110.5
10/09/2012, 110.5
10/10/2012, 110.5
10/11/2012, 110.5
10/12/2012, 110.5
10/13/2012, 110.5
10/14/2012, 109.0
10/15/2012, 107.5
10/16/2012, 108.0
10/17/2012, 108.5
10/18/2012, 108.0
10/19/2012, 108.0
10/20/2012, 108.5
10/21/2012, 108.5
10/22/2012, 109.0
10/23/2012, 108.5
10/24/2012, 109.0
10/25/2012, 108.0
10/26/2012, 108.5
10/27/2012, 108.5
10/28/2012, 109.0
10/29/2012, 108.5
10/30/2012, 109.0
10/31/2012, 107.5
11/01/2012, 107.5
11/02/2012, 108.5
11/03/2012, 107.5
11/04/2012, 108.5
11/05/2012, 109.5
11/06/2012, 109.5
11/07/2012, 109.0
11/08/2012, 110.0
11/09/2012, 109.5
11/10/2012, 109.0
11/11/2012, 110.0
11/12/2012, 110.0
11/13/2012, 108.5
11/14/2012, 108.5
11/15/2012, 108.0
11/16/2012, 108.5
11/17/2012, 108.0
11/18/2012, 108.0
11/19/2012, 108.0
11/20/2012, 108.0
11/21/2012, 109.0
11/22/2012, 109.6
11/23/2012, 109.4
11/24/2012, 109.4
11/25/2012, 109.2
11/26/2012, 108.5
11/27/2012, 109.0
11/28/2012, 108.5
11/29/2012, 107.5
11/30/2012, 106.5
12/01/2012, 106.0
12/02/2012, 108.5
12/03/2012, 109.0
12/04/2012, 109.0
12/05/2012, 108.0
12/06/2012, 108.0
12/07/2012, 109.0
12/08/2012, 109.0
12/09/2012, 108.0
12/10/2012, 111.0
12/11/2012, 112.0
12/12/2012, 109.5
12/13/2012, 108.0
12/14/2012, 108.0
12/15/2012, 109.5
12/16/2012, 108.0
12/17/2012, 107.5
12/18/2012, 107.0
12/19/2012, 109.8
12/20/2012, 108.8
12/21/2012, 109.6
12/22/2012, 111.0
12/23/2012, 111.2
12/24/2012, 111.8
12/25/2012, 111.2
12/26/2012, 109.6
12/27/2012, 111.4
12/28/2012, 111.6
12/29/2012, 112.0
12/30/2012, 111.2
12/31/2012, 110.2
1/01/2013, 107.4
1/02/2013, 110.0
1/03/2013, 109.8
1/04/2013, 110.4
1/05/2013, 111.0
1/06/2013, 108.0
1/07/2013, 109.5
1/08/2013, 109.5
1/09/2013, 109.0
1/10/2013, 108.5
1/11/2013, 108.0
1/12/2013, 107.5
1/13/2013, 109.5
1/14/2013, 111.0
1/15/2013, 109.5
1/16/2013, 109.5
1/17/2013, 109.0
1/18/2013, 110.0
1/19/2013, 108.5
1/20/2013, 111.0
1/21/2013, 111.0
1/22/2013, 110.5
1/23/2013, 109.5
1/24/2013, 109.5
1/25/2013, 109.0
1/26/2013, 109.0
1/27/2013, 109.0
1/28/2013, 109.5
1/29/2013, 109.5
1/30/2013, 110.5
1/31/2013, 111.0
2/01/2013, 111.0
2/02/2013, 111.0
2/03/2013, 112.0
2/04/2013, 112.5
2/05/2013, 113.0
2/06/2013, 113.0
2/07/2013, 112.0
2/08/2013, 113.5
2/09/2013, 113.5
2/10/2013, 113.0
2/11/2013, 112.5
2/12/2013, 112.3
2/13/2013, 115.0
2/14/2013, 113.5
2/15/2013, 112.5
2/16/2013, 113.0
2/17/2013, 113.0
2/18/2013, 113.0
2/19/2013, 114.5
2/20/2013, 116.0
2/21/2013, 116.0
2/22/2013, 116.0
2/23/2013, 116.0
2/24/2013, 115.5
2/25/2013, 116.5
2/26/2013, 116.5
2/27/2013, 116.5
2/28/2013, 117.0
3/01/2013, 117.0
3/02/2013, 116.5
3/03/2013, 116.0
3/04/2013, 115.5
3/05/2013, 115.5
3/06/2013, 117.0
3/07/2013, 116.0
3/08/2013, 115.5
3/09/2013, 116.5
3/10/2013, 115.5
3/11/2013, 115.5
3/12/2013, 115.0
3/13/2013, 115.0
3/14/2013, 114.0
3/15/2013, 112.8
3/16/2013, 112.3
3/17/2013, 111.5
3/18/2013, 111.5
3/19/2013, 111.8
3/20/2013, 112.5
3/21/2013, 112.5
3/22/2013, 112.5
3/23/2013, 112.0
3/24/2013, 112.5
3/25/2013, 112.5
3/26/2013, 112.5
3/27/2013, 112.5
3/28/2013, 112.5
3/29/2013, 112.5
3/30/2013, 112.5
3/31/2013, 107.5
4/01/2013, 107.0
4/02/2013, 109.5
4/03/2013, 108.0
4/04/2013, 109.0
4/05/2013, 108.5
4/06/2013, 109.0
4/07/2013, 109.0
4/08/2013, 109.0
4/09/2013, 110.0
4/10/2013, 110.0
4/11/2013, 109.5
4/12/2013, 110.5
4/13/2013, 109.5
4/14/2013, 110.0
4/15/2013, 109.0
4/16/2013, 110.5
4/17/2013, 110.5
4/18/2013, 110.0
4/19/2013, 110.0
4/20/2013, 109.5
4/21/2013, 110.0
4/22/2013, 109.8
4/23/2013, 112.0
4/24/2013, 109.0
4/25/2013, 110.5
4/26/2013, 109.8
4/27/2013, 109.8
4/28/2013, 109.8
4/29/2013, 109.8
4/30/2013, 109.8
5/01/2013, 109.8
5/02/2013, 109.8
5/03/2013, 109.8
5/04/2013, 106.0
5/05/2013, 107.5
5/06/2013, 108.0
5/07/2013, 109.0
5/08/2013, 108.5
5/09/2013, 109.0
5/10/2013, 108.5
5/11/2013, 108.0
5/12/2013, 109.5
5/13/2013, 109.5
5/14/2013, 109.5
5/15/2013, 109.5
5/16/2013, 109.5
5/17/2013, 109.5
5/18/2013, 109.5
5/19/2013, 109.5
5/20/2013, 109.5
5/21/2013, 106.5
5/22/2013, 106.5
5/23/2013, 106.5
5/24/2013, 106.5
5/25/2013, 106.5
5/26/2013, 106.5
5/27/2013, 106.5
5/28/2013, 108.0
5/29/2013, 106.5
5/30/2013, 107.5
5/31/2013, 106.0
6/01/2013, 107.5
6/02/2013, 110.0
6/03/2013, 109.0
6/04/2013, 108.5
6/05/2013, 110.0
6/06/2013, 110.0
6/07/2013, 110.0
6/08/2013, 108.0
6/09/2013, 110.0
6/10/2013, 107.5
6/11/2013, 109.0
6/12/2013, 108.0
6/13/2013, 109.0
6/14/2013, 108.5
6/15/2013, 107.5
6/16/2013, 112.0
6/17/2013, 109.5
6/18/2013, 112.5
6/19/2013, 109.5
6/20/2013, 111.5
6/21/2013, 109.5
6/22/2013, 108.0
6/23/2013, 112.5
6/24/2013, 112.5
6/25/2013, 110.5
6/26/2013, 113.5
6/27/2013, 111.5
6/28/2013, 111.0
6/29/2013, 111.0
6/30/2013, 114.5
7/01/2013, 113.5
7/02/2013, 114.5
7/03/2013, 114.5
7/04/2013, 114.5
7/05/2013, 114.5
7/06/2013, 114.5
7/07/2013, 111.0
7/08/2013, 110.5
7/09/2013, 110.0
7/10/2013, 111.5
7/11/2013, 110.5
7/12/2013, 110.5
7/13/2013, 111.5
7/14/2013, 110.0
7/15/2013, 114.5
7/16/2013, 112.5
7/17/2013, 111.5
7/18/2013, 111.5
7/19/2013, 113.5
7/20/2013, 111.5
7/21/2013, 112.5
7/22/2013, 110.5
7/23/2013, 112.0
7/24/2013, 114.0
7/25/2013, 114.0
7/26/2013, 112.0
7/27/2013, 110.5
7/28/2013, 115.0
7/29/2013, 115.0
7/30/2013, 115.5
7/31/2013, 114.5
8/01/2013, 113.0
8/02/2013, 115.5
8/03/2013, 115.0
8/04/2013, 115.5
8/05/2013, 114.0
8/06/2013, 115.0
8/07/2013, 115.5
8/08/2013, 116.5
8/09/2013, 114.0
8/10/2013, 116.0
8/11/2013, 116.0
8/12/2013, 116.0
8/13/2013, 116.0
8/14/2013, 113.0
8/15/2013, 112.0
8/16/2013, 114.0
8/17/2013, 112.5
8/18/2013, 113.0
8/19/2013, 115.5
8/20/2013, 115.0
8/21/2013, 115.6
8/22/2013, 115.6
8/23/2013, 115.6
8/24/2013, 115.6
8/25/2013, 115.6
8/26/2013, 111.5
8/27/2013, 113.5
8/28/2013, 113.0
8/29/2013, 115.0
8/30/2013, 114.5
8/31/2013, 112.0
9/01/2013, 111.5
9/02/2013, 111.0
9/03/2013, 111.5
9/04/2013, 111.5
9/05/2013, 113.5
9/06/2013, 112.0
9/07/2013, 114.5
9/08/2013, 114.5
9/09/2013, 113.0
9/10/2013, 115.0
9/11/2013, 114.5
9/12/2013, 113.5
9/13/2013, 113.0
9/14/2013, 112.0
9/15/2013, 112.0
9/16/2013, 111.0
9/17/2013, 113.0
9/18/2013, 113.5
9/19/2013, 113.0
9/20/2013, 113.0
9/21/2013, 114.0
9/22/2013, 112.0
9/23/2013, 114.0
9/24/2013, 114.5
9/25/2013, 114.5
9/26/2013, 114.0
9/27/2013, 114.0
9/28/2013, 114.5
9/29/2013, 114.5
9/30/2013, 113.0
10/01/2013, 115.5
10/02/2013, 115.0
10/03/2013, 115.0
10/04/2013, 115.5
10/05/2013, 114.0
10/06/2013, 116.0
10/07/2013, 116.5
10/08/2013, 116.5
10/09/2013, 116.5
10/10/2013, 116.5
10/11/2013, 116.5
10/12/2013, 117.0
10/13/2013, 120.0
10/14/2013, 120.0
10/15/2013, 120.0
10/16/2013, 120.0
10/17/2013, 120.0
10/18/2013, 120.0
10/19/2013, 114.5
10/20/2013, 113.5
10/21/2013, 116.5
10/22/2013, 113.0
10/23/2013, 112.5
10/24/2013, 115.0
10/25/2013, 113.5
10/26/2013, 114.0
10/27/2013, 114.0
10/28/2013, 116.0
10/29/2013, 116.5
10/30/2013, 115.5
10/31/2013, 113.5
11/01/2013, 114.0
11/02/2013, 114.0
11/03/2013, 114.0
11/04/2013, 114.0
11/05/2013, 114.0
11/06/2013, 114.0
11/07/2013, 116.0
11/08/2013, 116.0
11/09/2013, 116.0
11/10/2013, 116.0
11/11/2013, 116.0
11/12/2013, 111.5
11/13/2013, 112.5
11/14/2013, 114.0
11/15/2013, 114.0
11/16/2013, 114.0
11/17/2013, 116.5
11/18/2013, 117.0
11/19/2013, 116.0
11/20/2013, 114.5
11/21/2013, 113.5
11/22/2013, 113.5
11/23/2013, 112.0
11/24/2013, 113.5
11/25/2013, 114.5
11/26/2013, 115.0
11/27/2013, 115.0
11/28/2013, 115.0
11/29/2013, 115.0
11/30/2013, 115.0
12/01/2013, 115.0
12/02/2013, 115.5
12/03/2013, 116.5
12/04/2013, 117.0
12/05/2013, 116.0
12/06/2013, 115.0
12/07/2013, 115.0
12/08/2013, 115.0
12/09/2013, 118.5
12/10/2013, 114.0
12/11/2013, 115.0
12/12/2013, 115.0
12/13/2013, 114.5
12/14/2013, 113.0
12/15/2013, 115.0
12/16/2013, 113.0
12/17/2013, 114.5
12/18/2013, 115.0
12/19/2013, 115.0
12/20/2013, 114.4
12/21/2013, 113.6
12/22/2013, 113.6
12/23/2013, 114.6
12/24/2013, 113.2
12/25/2013, 115.0
12/26/2013, 116.0
12/27/2013, 116.6
12/28/2013, 114.4
12/29/2013, 113.8
12/30/2013, 115.0
12/31/2013, 112.5
1/01/2014, 113.5
1/02/2014, 113.5
1/03/2014, 116.0
1/04/2014, 115.5
1/05/2014, 113.5
1/06/2014, 116.5
1/07/2014, 116.0
1/08/2014, 114.5
1/09/2014, 114.5
1/10/2014, 113.5
1/11/2014, 115.0
1/12/2014, 115.0
1/13/2014, 116.0
1/14/2014, 113.0
1/15/2014, 112.0
1/16/2014, 112.5
1/17/2014, 112.0
1/18/2014, 112.0
1/19/2014, 116.0
1/20/2014, 115.0
1/21/2014, 116.0
1/22/2014, 114.0
1/23/2014, 113.5
1/24/2014, 113.0
1/25/2014, 113.0
1/26/2014, 115.5
1/27/2014, 117.5
1/28/2014, 114.5
1/29/2014, 112.5
1/30/2014, 111.5
1/31/2014, 110.5
2/01/2014, 111.5
2/02/2014, 111.5
2/03/2014, 112.0
2/04/2014, 112.5
2/05/2014, 110.0
2/06/2014, 109.5
2/07/2014, 109.5
2/08/2014, 110.0
2/09/2014, 113.5
2/10/2014, 114.0
2/11/2014, 111.0
2/12/2014, 111.0
2/13/2014, 111.0
2/14/2014, 111.0
2/15/2014, 111.0
2/16/2014, 112.5
2/17/2014, 111.5
2/18/2014, 111.5
2/19/2014, 111.5
2/20/2014, 112.5
2/21/2014, 111.0
2/22/2014, 112.0
2/23/2014, 117.0
2/24/2014, 113.5
2/25/2014, 111.5
2/26/2014, 111.5
2/27/2014, 111.5
2/28/2014, 114.0
3/01/2014, 115.0
3/02/2014, 111.5
3/03/2014, 111.5
3/04/2014, 112.0
3/05/2014, 112.5
3/06/2014, 113.5
3/07/2014, 113.5
3/08/2014, 112.5
3/09/2014, 111.0
3/10/2014, 112.0
3/11/2014, 112.0
3/12/2014, 110.5
3/13/2014, 112.0
3/14/2014, 113.0
3/15/2014, 115.0
3/16/2014, 114.5
3/17/2014, 114.5
3/18/2014, 113.5
3/19/2014, 112.0
3/20/2014, 113.5
3/21/2014, 115.0
3/22/2014, 113.5
3/23/2014, 113.5
